"Trade in goods by exporter characteristics, by industry of establishment"
"Frequency: Annual"
"Table: 12-10-0098-01 (formerly CANSIM 228-0077)"
"Release date: 2025-05-16"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,,"Estimates","Value of exports 1 2  (x 1,000)","Number of exporting establishments"
"Geography","North American Industry Classification System (NAICS)","Reference period"
,,,"Dollars","Number"
,,"2019","1,704,253","440"
,,"2020","1,506,009","383"
,,"2021","1,381,894","322"
,,"2022","37,404","187"
,,"2023","6,165","96"
,,"2024","6,267","64"
,"Administrative and support, waste management and remediation services  [56]","2007","1,536,539","1,065"
,,"2008","1,499,106","1,021"
,,"2009","1,239,553","940"
,,"2010","7,183,855","907"
,,"2011","2,940,596","933"
,,"2012","1,310,861","942"
,,"2013","1,899,609","905"
,,"2014","811,198","899"
,,"2015","2,300,023","926"
,,"2016","1,002,474","874"
,,"2017","1,083,758","815"
,,"2018","915,884","843"
,,"2019","849,127","891"
,,"2020","977,591","877"
,,"2021","1,434,630","1,012"
,,"2022","987,372","974"
,,"2023","1,427,206","990"
,,"2024","2,117,104","1,026"
,"Educational services  [61]","2007","43,246","204"
,,"2008","287,185","190"
,,"2009","220,518","190"
,,"2010","31,596","208"
,,"2011","22,825","202"
,,"2012","29,893","210"
,,"2013","53,272","175"
,,"2014","50,135","169"
,,"2015","45,465","190"
,,"2016","50,362","167"
,,"2017","57,615","198"
,,"2018","60,272","191"
,,"2019","116,936","198"
,,"2020","103,391","166"
,,"2021","94,647","222"
,,"2022","66,772","216"
,,"2023","58,737","204"
,,"2024","56,388","205"
,"Health care and social assistance  [62]","2007","101,886","197"
,,"2008","87,656","216"
,,"2009","46,178","201"
,,"2010","38,211","197"
,,"2011","43,952","236"
,,"2012","22,083","235"
,,"2013","119,165","245"
,,"2014","43,300","243"
,,"2015","43,970","251"
,,"2016","74,005","216"
,,"2017","42,676","223"
,,"2018","112,772","308"
,,"2019","191,420","253"
,,"2020","142,893","259"
,,"2021","122,507","354"
,,"2022","86,169","379"
,,"2023","106,845","431"
,,"2024","100,964","447"
,"Arts, entertainment and recreation  [71]","2007","153,086","467"
,,"2008","86,873","413"
,,"2009","88,587","381"
,,"2010","79,500","350"
,,"2011","101,162","372"
,,"2012","71,863","454"
,,"2013","46,375","448"
,,"2014","75,864","458"
,,"2015","70,353","453"
,,"2016","57,009","473"
,,"2017","65,999","468"
,,"2018","134,192","546"
,,"2019","221,296","546"
,,"2020","60,269","425"
,,"2021","94,949","559"
,,"2022","103,246","619"
,,"2023","80,400","647"
,,"2024","95,564","659"
,"Accommodation and food services  [72]","2007","97,958","232"
,,"2008","72,268","195"
,,"2009","100,777","182"
,,"2010","24,429","163"
,,"2011","27,908","175"
,,"2012","24,306","157"
,,"2013","60,451","120"
,,"2014","43,911","147"
,,"2015","54,680","151"
,,"2016","44,891","136"
,,"2017","40,806","140"
,,"2018","74,238","178"
,,"2019","122,365","181"
,,"2020","94,958","130"
,,"2021","93,441","170"
,,"2022","27,572","188"
,,"2023","51,588","177"
,,"2024","58,443","210"
,"Other services (except public administration)  [81]","2007","1,192,695","1,335"
,,"2008","859,542","1,288"
,,"2009","713,780","1,126"
,,"2010","478,746","1,098"
,,"2011","492,793","1,153"
,,"2012","463,003","1,130"
,,"2013","501,039","1,090"
,,"2014","599,443","1,129"
,,"2015","659,994","1,177"
,,"2016","654,233","1,069"
,,"2017","805,695","1,059"
,,"2018","820,492","1,099"
,,"2019","787,716","1,153"
,,"2020","687,078","1,085"
,,"2021","610,407","1,369"
,,"2022","633,376","1,413"
,,"2023","614,237","1,386"
,,"2024","625,478","1,244"
,"Public administration  [91]","2007","130,996","80"
,,"2008","243,224","67"
,,"2009","53,404","74"
,,"2010","80,373","101"
,,"2011","28,290","93"
,,"2012","21,670","106"
,,"2013","30,957","86"
,,"2014","35,604","98"
,,"2015","28,938","96"
,,"2016","37,120","75"
,,"2017","41,583","88"
,,"2018","33,444","98"
,,"2019","32,759","81"
,,"2020","20,792","67"
