"Trade in goods by exporter characteristics, by industry of establishment"
"Frequency: Annual"
"Table: 12-10-0098-01 (formerly CANSIM 228-0077)"
"Release date: 2025-05-16"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,,"Estimates","Value of exports 1 2  (x 1,000)","Number of exporting establishments"
"Geography","North American Industry Classification System (NAICS)","Reference period"
,,,"Dollars","Number"
,,"2020","2,139","10"
,,"2021","2,589","10"
,,"2022","3,017","10"
,,"2023","4,100","12"
,,"2024","1,853","11"
,"Apparel manufacturing  [315]","2007","5,364","27"
,,"2008","4,156","16"
,,"2009","3,410","19"
,,"2010","2,606","14"
,,"2011","2,161","12"
,,"2012","1,786","12"
,,"2013","1,798","11"
,,"2014","1,600","12"
,,"2015","1,899","13"
,,"2016","3,412","11"
,,"2017","1,820","12"
,,"2018","2,074","12"
,,"2019","2,699","11"
,,"2020","995","9"
,,"2021","1,513","11"
,,"2022","1,930","13"
,,"2023","2,780","13"
,,"2024","2,766","14"
,"Leather and allied product manufacturing  [316]","2007","1,208","11"
,,"2008","1,910","10"
,,"2009","529","5"
,,"2010","960","6"
,,"2011","1,352","5"
,,"2012","29","5"
,,"2013","5","F"
,,"2014","4","F"
,,"2015","30","4"
,,"2016","25","5"
,,"2017","830","5"
,,"2018","248","3"
,,"2019","33","5"
,,"2020","168","5"
,,"2021","161","5"
,,"2022","106","5"
,,"2023","46","F"
,,"2024","37","F"
,"Wood product manufacturing  [321]","2007","143,562","63"
,,"2008","265,500","59"
,,"2009","266,415","54"
,,"2010","324,597","57"
,,"2011","303,774","55"
,,"2012","137,430","46"
,,"2013","192,031","47"
,,"2014","192,215","40"
,,"2015","227,751","46"
,,"2016","364,124","60"
,,"2017","223,105","47"
,,"2018","189,318","38"
,,"2019","159,214","46"
,,"2020","272,568","39"
,,"2021","488,060","61"
,,"2022","668,055","56"
,,"2023","375,868","52"
,,"2024","325,295","58"
,"Paper manufacturing  [322]","2007","877,397","21"
,,"2008","526,460","20"
,,"2009","557,777","19"
,,"2010","462,280","15"
,,"2011","694,705","15"
,,"2012","675,381","15"
,,"2013","1,193,172","14"
,,"2014","1,101,253","14"
,,"2015","1,119,837","13"
,,"2016","1,335,264","14"
,,"2017","1,457,633","14"
,,"2018","1,688,401","13"
,,"2019","1,275,598","12"
,,"2020","1,155,971","13"
,,"2021","1,437,874","14"
,,"2022","1,833,974","14"
,,"2023","1,599,731","14"
,,"2024","2,023,034","13"
,"Printing and related support activities  [323]","2007","27,606","49"
,,"2008","23,145","52"
,,"2009","11,278","47"
,,"2010","8,947","37"
,,"2011","9,362","40"
,,"2012","8,711","42"
,,"2013","4,609","29"
,,"2014","5,421","33"
,,"2015","4,622","30"
,,"2016","4,934","29"
,,"2017","5,145","30"
,,"2018","5,164","31"
,,"2019","5,008","29"
,,"2020","3,695","25"
,,"2021","4,999","28"
,,"2022","5,315","28"
,,"2023","5,276","24"
,,"2024","5,351","29"
,"Petroleum and coal product manufacturing  [324]","2007","1,288,198","17"
,,"2008","3,741,414","15"
,,"2009","2,232,949","14"
,,"2010","203,638","14"
,,"2011","1,472,665","16"
,,"2012","1,607,664","17"
,,"2013","1,962,533","17"
,,"2014","3,566,443","21"
,,"2015","2,337,672","15"
,,"2016","830,282","13"
,,"2017","586,037","11"
,,"2018","1,810,830","16"
,,"2019","1,334,234","15"
,,"2020","1,064,822","15"
,,"2021","2,629,130","14"
,,"2022","4,876,231","18"
,,"2023","3,920,605","17"
,,"2024","5,809,903","19"
,"Chemical manufacturing  [325]","2007","6,993,117","98"
,,"2008","8,535,589","97"
,,"2009","6,016,668","95"
,,"2010","6,504,772","92"
,,"2011","7,821,935","96"
,,"2012","7,958,478","98"
,,"2013","7,323,082","87"
,,"2014","8,011,885","98"
,,"2015","8,939,918","90"
,,"2016","8,689,744","86"
,,"2017","8,950,307","91"
,,"2018","9,259,836","100"
,,"2019","7,880,309","102"
,,"2020","6,859,051","100"
,,"2021","10,251,997","123"
,,"2022","10,953,448","129"
,,"2023","9,977,755","121"
,,"2024","9,670,826","119"
,"Plastics and rubber products manufacturing  [326]","2007","228,496","101"
,,"2008","422,287","103"
,,"2009","234,359","89"
,,"2010","179,462","92"
,,"2011","228,817","95"
,,"2012","235,931","86"
,,"2013","238,781","78"
,,"2014","271,697","85"
,,"2015","206,679","81"
,,"2016","218,671","88"
,,"2017","263,107","80"
,,"2018","345,316","84"
,,"2019","290,373","86"
,,"2020","253,708","78"
,,"2021","335,494","88"
,,"2022","422,588","77"
,,"2023","492,078","80"
,,"2024","566,483","87"
,"Non-metallic mineral product manufacturing  [327]","2007","61,379","37"
,,"2008","58,858","27"
,,"2009","54,722","30"
,,"2010","43,535","32"
,,"2011","57,419","31"
,,"2012","72,144","27"
,,"2013","51,384","25"
,,"2014","104,153","27"
,,"2015","143,118","31"
,,"2016","174,808","29"
,,"2017","180,243","32"
,,"2018","265,768","32"
,,"2019","267,071","32"
,,"2020","248,669","31"
,,"2021","303,211","30"
,,"2022","317,706","40"
,,"2023","272,020","40"
,,"2024","240,532","36"
,"Primary metal manufacturing  [331]","2007","1,888,438","26"
,,"2008","1,391,545","23"
,,"2009","930,667","17"
,,"2010","1,230,530","23"
,,"2011","1,280,435","23"
,,"2012","301,803","23"
,,"2013","795,349","21"
,,"2014","913,539","19"
,,"2015","943,792","20"
,,"2016","473,551","18"
,,"2017","311,933","21"
,,"2018","439,452","22"
,,"2019","430,621","20"
,,"2020","275,276","23"
,,"2021","442,555","22"
,,"2022","1,884,136","21"
,,"2023","1,594,546","24"
,,"2024","1,226,422","27"
,"Fabricated metal product manufacturing  [332]","2007","435,789","248"
,,"2008","600,981","249"
,,"2009","344,990","220"
,,"2010","322,861","211"
,,"2011","349,338","224"
,,"2012","462,840","267"
,,"2013","552,687","265"
,,"2014","585,120","279"
,,"2015","457,189","241"
,,"2016","342,585","234"
,,"2017","567,647","237"
,,"2018","670,617","240"
,,"2019","785,603","257"
,,"2020","537,419","240"
,,"2021","559,054","252"
,,"2022","811,124","263"
,,"2023","957,518","274"
,,"2024","901,216","269"
,"Machinery manufacturing  [333]","2007","1,276,291","293"
,,"2008","1,784,900","320"
,,"2009","1,631,505","321"
,,"2010","1,286,774","303"
,,"2011","1,863,024","315"
,,"2012","1,859,973","330"
,,"2013","1,758,835","319"
,,"2014","1,946,857","343"
,,"2015","1,676,563","323"
,,"2016","1,002,199","312"
,,"2017","1,268,736","308"
,,"2018","1,468,402","311"
,,"2019","1,780,646","310"
,,"2020","1,430,222","301"
,,"2021","1,420,603","304"
,,"2022","1,926,377","306"
,,"2023","2,848,656","316"
,,"2024","2,705,704","326"
,"Computer and electronic product manufacturing  [334]","2007","315,927","102"
,,"2008","305,146","106"
,,"2009","175,261","97"
,,"2010","229,612","99"
,,"2011","273,281","105"
,,"2012","282,425","98"
,,"2013","298,796","98"
,,"2014","311,286","96"
,,"2015","281,484","98"
,,"2016","455,682","97"
,,"2017","282,388","99"
,,"2018","349,482","98"
,,"2019","371,075","95"
,,"2020","279,429","95"
,,"2021","345,034","98"
,,"2022","397,054","89"
,,"2023","429,511","93"
,,"2024","465,179","91"
,"Electrical equipment, appliance and component manufacturing  [335]","2007","65,484","40"
,,"2008","75,173","44"
,,"2009","56,433","41"
,,"2010","87,269","39"
,,"2011","107,008","40"
,,"2012","114,099","45"
,,"2013","105,085","45"
,,"2014","100,114","44"
,,"2015","110,452","50"
,,"2016","101,560","46"
,,"2017","131,624","43"
,,"2018","178,404","48"
,,"2019","180,797","51"
,,"2020","122,157","45"
,,"2021","127,726","47"
,,"2022","192,870","46"
,,"2023","256,237","44"
,,"2024","293,628","49"
,"Transportation equipment manufacturing  [336]","2007","185,742","56"
,,"2008","128,734","49"
,,"2009","109,508","44"
,,"2010","151,120","44"
,,"2011","172,562","41"
,,"2012","160,271","45"
,,"2013","301,865","40"
,,"2014","341,680","39"
,,"2015","414,205","40"
,,"2016","472,028","41"
,,"2017","350,262","46"
,,"2018","423,545","47"
,,"2019","567,934","47"
,,"2020","287,217","49"
,,"2021","300,076","47"
,,"2022","393,320","51"
,,"2023","558,964","51"
,,"2024","560,575","51"
,"Furniture and related product manufacturing  [337]","2007","213,571","45"
,,"2008","170,594","42"
,,"2009","91,736","39"
,,"2010","53,366","33"
,,"2011","49,104","34"
,,"2012","54,194","38"
,,"2013","52,459","32"
,,"2014","60,754","30"
,,"2015","57,093","31"
,,"2016","61,777","33"
,,"2017","60,712","32"
,,"2018","75,661","35"
,,"2019","68,903","38"
,,"2020","64,532","34"
,,"2021","74,310","36"
,,"2022","84,855","37"
,,"2023","93,297","39"
,,"2024","92,443","39"
,"Miscellaneous manufacturing  [339]","2007","93,651","94"
,,"2008","87,637","90"
,,"2009","76,824","85"
,,"2010","66,205","74"
,,"2011","69,626","86"
,,"2012","109,023","96"
,,"2013","70,683","89"
,,"2014","61,386","101"
,,"2015","62,489","96"
,,"2016","42,470","83"
,,"2017","54,559","93"
,,"2018","59,176","99"
,,"2019","67,541","101"
,,"2020","55,362","97"
,,"2021","54,083","93"
,,"2022","59,465","97"
,,"2023","83,090","102"
,,"2024","175,004","108"
,"Wholesale trade  [41]","2007","9,491,053","1,119"
,,"2008","12,935,822","1,109"
,,"2009","8,375,051","1,048"
,,"2010","13,419,077","1,026"
,,"2011","13,829,906","1,135"
,,"2012","15,768,771","1,146"
,,"2013","13,669,412","1,115"
,,"2014","20,506,752","1,175"
,,"2015","16,975,615","1,084"
,,"2016","17,676,565","1,018"
,,"2017","22,370,228","1,086"
,,"2018","25,610,264","1,124"
,,"2019","29,783,684","1,160"
,,"2020","21,211,474","1,073"
,,"2021","32,764,933","1,206"
,,"2022","46,089,820","1,308"
,,"2023","40,675,543","1,304"
,,"2024","47,383,049","1,292"
,"Retail trade  [44-45]","2007","106,971","235"
,,"2008","42,450","251"
,,"2009","42,825","229"
,,"2010","46,169","219"
,,"2011","36,845","302"
,,"2012","146,246","260"
,,"2013","194,581","232"
,,"2014","117,282","301"
,,"2015","162,576","343"
,,"2016","148,805","366"
,,"2017","269,157","349"
,,"2018","239,337","349"
,,"2019","143,994","346"
,,"2020","136,969","338"
,,"2021","113,485","445"
,,"2022","115,427","397"
,,"2023","135,303","425"
,,"2024","170,290","446"
,"Transportation and warehousing  [48-49]","2007","850,967","186"
,,"2008","475,162","180"
,,"2009","754,397","167"
,,"2010","686,484","159"
,,"2011","646,325","169"
,,"2012","1,020,552","183"
,,"2013","1,305,468","203"
,,"2014","2,398,497","188"
,,"2015","1,491,519","193"
,,"2016","718,411","196"
,,"2017","1,610,753","194"
,,"2018","1,066,206","187"
,,"2019","951,644","228"
,,"2020","636,940","211"
,,"2021","414,747","260"
,,"2022","457,347","278"
,,"2023","651,336","294"
,,"2024","505,314","320"
,"Information and cultural industries  [51]","2007","55,261","53"
,,"2008","5,278","49"
,,"2009","2,056","45"
,,"2010","2,156","34"
,,"2011","25,874","44"
,,"2012","5,457","38"
,,"2013","4,955","37"
,,"2014","10,475","44"
,,"2015","9,453","45"
,,"2016","4,800","35"
,,"2017","6,101","37"
,,"2018","5,853","28"
,,"2019","8,585","39"
,,"2020","3,736","27"
,,"2021","6,045","28"
,,"2022","29,634","33"
,,"2023","10,847","32"
,,"2024","15,167","28"
,"Finance and insurance  [52]","2007","175,280","51"
,,"2008","482,972","47"
,,"2009","454,758","42"
,,"2010","323,498","47"
,,"2011","572,211","43"
,,"2012","3,843,052","56"
,,"2013","323,331","58"
,,"2014","384,150","52"
,,"2015","1,590,085","51"
,,"2016","848,778","48"
,,"2017","1,200,276","57"
,,"2018","2,291,313","73"
,,"2019","1,573,794","54"
,,"2020","545,504","62"
,,"2021","753,557","77"
,,"2022","773,518","69"
,,"2023","449,133","68"
,,"2024","316,039","64"
,"Real estate and rental and leasing  [53]","2007","88,251","115"
,,"2008","115,726","127"
,,"2009","76,049","113"
,,"2010","72,339","96"
,,"2011","82,996","127"
,,"2012","97,675","139"
,,"2013","132,925","139"
,,"2014","127,368","158"
,,"2015","295,482","168"
,,"2016","57,843","148"
,,"2017","139,317","160"
,,"2018","195,471","184"
,,"2019","247,876","189"
,,"2020","190,057","183"
,,"2021","180,984","248"
,,"2022","120,506","221"
,,"2023","179,671","217"
,,"2024","85,179","230"
,"Professional, scientific and technical services  [54]","2007","571,744","414"
,,"2008","668,395","401"
,,"2009","633,588","375"
,,"2010","813,098","343"
,,"2011","1,001,096","379"
,,"2012","639,105","364"
,,"2013","698,860","346"
,,"2014","558,743","326"
,,"2015","1,723,582","321"
,,"2016","1,702,013","306"
,,"2017","539,616","304"
,,"2018","578,246","364"
,,"2019","284,815","367"
,,"2020","241,486","377"
,,"2021","314,170","444"
,,"2022","330,512","449"
,,"2023","297,683","448"
,,"2024","429,084","453"
,"Management of companies and enterprises  [55]","2007","885,541","49"
,,"2008","465,186","59"
,,"2009","308,729","65"
,,"2010","2,453,487","91"
,,"2011","1,415,640","104"
,,"2012","2,141,131","110"
,,"2013","2,794,923","103"
,,"2014","1,561,768","122"
,,"2015","602,738","110"
,,"2016","207,127","89"
,,"2017","1,552,743","104"
,,"2018","319,744","73"
,,"2019","210,275","60"
,,"2020","120,434","48"
,,"2021","199,537","37"
,,"2022","2,701","20"
,,"2023","2,194","11"
,,"2024","114","F"
,"Administrative and support, waste management and remediation services  [56]","2007","53,986","106"
,,"2008","128,863","110"
,,"2009","84,099","84"
,,"2010","4,532,824","92"
,,"2011","361,306","105"
,,"2012","206,980","105"
,,"2013","1,049,456","104"
,,"2014","189,223","97"
,,"2015","1,269,498","90"
,,"2016","83,421","75"
,,"2017","71,075","58"
,,"2018","85,316","77"
,,"2019","59,486","85"
,,"2020","54,038","83"
,,"2021","75,578","115"
,,"2022","107,139","90"
,,"2023","112,050","98"
,,"2024","133,900","116"
,"Educational services  [61]","2007","2,696","23"
,,"2008","1,987","24"
,,"2009","1,480","26"
,,"2010","1,848","38"
,,"2011","1,587","32"
,,"2012","1,148","32"
,,"2013","772","26"
,,"2014","927","20"
,,"2015","1,645","22"
,,"2016","2,000","20"
,,"2017","2,163","22"
,,"2018","2,287","18"
,,"2019","2,250","24"
,,"2020","2,268","19"
,,"2021","5,385","29"
,,"2022","8,535","27"
,,"2023","9,244","24"
,,"2024","6,754","26"
,"Health care and social assistance  [62]","2007","18,377","25"
,,"2008","19,535","28"
,,"2009","6,546","25"
,,"2010","2,465","23"
,,"2011","2,940","32"
,,"2012","1,318","34"
,,"2013","2,074","25"
,,"2014","6,485","32"
,,"2015","4,672","26"
,,"2016","8,254","21"
,,"2017","4,430","22"
,,"2018","70,076","41"
,,"2019","45,563","28"
,,"2020","11,350","22"
,,"2021","10,445","50"
,,"2022","1,873","43"
,,"2023","4,086","56"
,,"2024","3,083","65"
,"Arts, entertainment and recreation  [71]","2007","2,350","49"
,,"2008","1,661","43"
,,"2009","1,468","35"
,,"2010","1,068","43"
,,"2011","843","48"
,,"2012","1,388","43"
,,"2013","1,356","39"
,,"2014","1,025","34"
,,"2015","1,133","35"
,,"2016","1,547","38"
,,"2017","1,546","33"
,,"2018","1,988","42"
,,"2019","1,787","37"
,,"2020","1,767","46"
,,"2021","3,623","59"
,,"2022","4,813","60"
,,"2023","5,951","74"
,,"2024","3,582","70"
,"Accommodation and food services  [72]","2007","13,092","24"
,,"2008","18,449","22"
,,"2009","6,869","17"
,,"2010","3,160","10"
,,"2011","2,791","20"
,,"2012","4,119","23"
,,"2013","11,681","13"
,,"2014","10,883","23"
,,"2015","14,304","15"
,,"2016","13,184","12"
,,"2017","16,109","19"
,,"2018","25,748","29"
,,"2019","50,110","17"
,,"2020","44,160","16"
,,"2021","48,582","17"
,,"2022","3,253","19"
,,"2023","22,528","16"
,,"2024","26,753","22"
,"Other services (except public administration)  [81]","2007","407,491","181"
,,"2008","198,909","184"
,,"2009","227,131","154"
,,"2010","162,457","149"
,,"2011","175,144","181"
,,"2012","129,648","196"
,,"2013","121,430","176"
,,"2014","137,738","169"
,,"2015","113,882","157"
,,"2016","106,028","140"
,,"2017","164,212","143"
,,"2018","213,404","176"
,,"2019","201,008","183"
,,"2020","140,153","174"
,,"2021","147,804","257"
,,"2022","137,694","255"
,,"2023","169,572","240"
,,"2024","145,318","235"
,"Public administration  [91]","2007","469","6"
,,"2008","469","8"
,,"2009","724","6"
,,"2010","1,332","10"
,,"2011","1,722","9"
,,"2012","1,753","14"
,,"2013","1,865","12"
,,"2014","2,943","13"
,,"2015","2,809","12"
,,"2016","1,296","7"
,,"2017","1,889","9"
,,"2018","928","8"
,,"2019","1,997","9"
,,"2020","536","8"
,,"2021","975","10"
,,"2022","1,574","12"
,,"2023","137","11"
,,"2024","684","13"
"British Columbia","All industries","2007","31,409,402","7,919"
,,"2008","30,091,265","7,350"
,,"2009","23,680,479","6,639"
,,"2010","25,514,732","6,465"
,,"2011","32,894,942","6,771"
,,"2012","27,461,546","6,771"
,,"2013","32,827,751","6,693"
,,"2014","36,574,469","6,755"
,,"2015","36,050,717","6,864"
,,"2016","41,198,356","6,845"
,,"2017","46,751,351","6,913"
,,"2018","50,125,821","7,131"
,,"2019","46,339,877","7,192"
,,"2020","42,207,547","6,880"
,,"2021","56,107,473","7,566"
,,"2022","64,747,127","7,630"
,,"2023","55,294,764","7,777"
,,"2024","52,340,841","7,649"
,"Agriculture, forestry, fishing and hunting  [11]","2007","1,820,256","369"
,,"2008","1,276,196","365"
,,"2009","985,976","316"
,,"2010","772,975","306"
,,"2011","1,130,971","334"
,,"2012","868,587","315"
,,"2013","991,189","344"
,,"2014","1,083,094","306"
,,"2015","1,273,433","325"
,,"2016","1,512,280","319"
,,"2017","1,282,373","314"
,,"2018","1,116,593","330"
,,"2019","1,201,563","324"
,,"2020","1,192,488","323"
,,"2021","1,984,750","372"
,,"2022","1,829,225","415"
,,"2023","1,522,994","426"
,,"2024","1,755,657","425"
,"Mining, quarrying, and oil and gas extraction  [21]","2007","4,625,374","95"
,,"2008","5,719,109","88"
,,"2009","3,442,682","63"
,,"2010","3,917,866","74"
,,"2011","10,141,555","78"
,,"2012","3,102,628","71"
,,"2013","6,585,639","60"
,,"2014","6,987,225","63"
,,"2015","6,462,647","71"
,,"2016","7,491,543","59"
,,"2017","9,980,100","58"
,,"2018","11,022,779","57"
,,"2019","14,056,535","50"
,,"2020","11,079,172","54"
,,"2021","15,245,176","58"
,,"2022","19,640,473","49"
,,"2023","18,340,180","54"
,,"2024","14,786,196","54"
,"Oil and gas extraction  [211]","2007","1,747,861","5"
,,"2008","2,887,831","9"
,,"2009","1,243,783","6"
,,"2010","1,234,549","8"
,,"2011","1,006,057","11"
,,"2012","17,350","5"
,,"2013","265,208","4"
,,"2014","30,648","F"
,,"2015","112,243","5"
,,"2016","298,847","F"
,,"2017","9","F"
,,"2018","139,279","3"
,,"2019","3,670,274","3"
,,"2020","2,277,643","5"
,,"2021","3,138,439","6"
,,"2022","3,907,015","F"
,,"2023","3,502,471","F"
,,"2024","1,229,977","9"
,"Mining and quarrying (except oil and gas)  [212]","2007","1,745,979","31"
,,"2008","1,906,261","33"
,,"2009","1,297,740","26"
,,"2010","1,447,655","28"
,,"2011","8,518,589","26"
,,"2012","2,616,951","28"
,,"2013","6,171,408","35"
,,"2014","6,103,284","28"
,,"2015","5,734,947","32"
,,"2016","6,867,199","28"
,,"2017","9,167,458","25"
,,"2018","10,308,173","22"
,,"2019","9,435,621","21"
,,"2020","8,063,880","23"
,,"2021","11,805,509","21"
,,"2022","15,700,268","23"
,,"2023","14,453,688","26"
,,"2024","13,512,724","25"
,"Support activities for mining, and oil and gas extraction  [213]","2007","1,131,534","59"
,,"2008","925,017","46"
,,"2009","901,159","31"
,,"2010","1,235,662","38"
,,"2011","616,909","41"
,,"2012","468,327","38"
,,"2013","149,023","21"
,,"2014","853,294","33"
,,"2015","615,457","34"
,,"2016","325,496","29"
,,"2017","812,633","32"
,,"2018","575,328","32"
,,"2019","950,640","26"
,,"2020","737,649","26"
,,"2021","301,228","31"
,,"2022","33,190","23"
,,"2023","384,021","24"
,,"2024","43,496","20"
,"Utilities  [22]","2007","1,688,467","16"
,,"2008","1,055,145","12"
,,"2009","671,955","13"
,,"2010","1,021,349","17"
,,"2011","1,222,659","13"
,,"2012","727,434","11"
,,"2013","1,875,213","12"
,,"2014","2,840,566","8"
,,"2015","1,168,225","10"
,,"2016","2,315,745","10"
,,"2017","3,173,262","13"
,,"2018","2,811,024","10"
,,"2019","1,279,580","20"
,,"2020","1,793,384","14"
,,"2021","2,354,464","10"
,,"2022","4,066,618","14"
,,"2023","2,366,057","19"
,,"2024","1,675,606","12"
,"Construction  [23]","2007","203,932","303"
,,"2008","124,913","271"
,,"2009","66,509","217"
,,"2010","64,981","191"
,,"2011","78,187","211"
,,"2012","97,152","213"
,,"2013","106,149","224"
,,"2014","134,436","220"
,,"2015","116,208","205"
,,"2016","124,082","226"
,,"2017","115,464","246"
,,"2018","154,734","253"
,,"2019","167,663","284"
,,"2020","164,175","273"
,,"2021","214,332","350"
,,"2022","233,223","368"
,,"2023","290,249","383"
,,"2024","333,940","420"
,"Manufacturing  [31-33]","2007","14,590,569","2,711"
,,"2008","13,995,513","2,547"
,,"2009","11,162,802","2,371"
,,"2010","13,262,434","2,300"
,,"2011","15,116,519","2,322"
,,"2012","16,285,023","2,295"
,,"2013","15,872,593","2,268"
,,"2014","15,769,781","2,231"
,,"2015","16,481,984","2,221"
,,"2016","19,071,045","2,255"
,,"2017","20,805,628","2,285"
,,"2018","22,601,144","2,296"
,,"2019","19,994,358","2,317"
,,"2020","19,448,354","2,209"
,,"2021","26,348,669","2,315"
,,"2022","29,800,674","2,301"
,,"2023","24,975,881","2,316"
,,"2024","24,953,007","2,289"
,"Food manufacturing  [311]","2007","870,279","213"
,,"2008","777,690","209"
,,"2009","739,221","188"
,,"2010","797,153","189"
,,"2011","950,643","198"
,,"2012","878,444","185"
,,"2013","899,282","199"
,,"2014","976,659","188"
,,"2015","1,120,042","195"
,,"2016","1,383,484","200"
,,"2017","1,451,259","208"
,,"2018","1,765,926","213"
,,"2019","1,999,087","215"
,,"2020","1,898,752","197"
,,"2021","2,231,888","210"
,,"2022","2,854,945","205"
,,"2023","2,686,423","209"
,,"2024","2,754,958","200"
,"Beverage and tobacco product manufacturing  [312]","2007","75,398","26"
,,"2008","63,949","25"
,,"2009","60,088","24"
,,"2010","53,034","29"
,,"2011","57,656","33"
,,"2012","58,381","34"
,,"2013","57,311","37"
,,"2014","53,873","47"
,,"2015","69,241","50"
,,"2016","51,214","61"
,,"2017","47,411","65"
,,"2018","48,790","66"
,,"2019","67,222","75"
,,"2020","82,366","65"
,,"2021","89,766","78"
,,"2022","113,746","73"
,,"2023","101,014","67"
,,"2024","78,844","57"
,"Textile mills  [313]","2007","305","10"
,,"2008","201","8"
,,"2009","155","7"
,,"2010","95","3"
,,"2011","119","5"
,,"2012","74","4"
,,"2013","3,811","4"
,,"2014","283","6"
,,"2015","448","3"
,,"2016","1,000","4"
,,"2017","847","F"
,,"2018","829","3"
,,"2019","765","4"
,,"2020","750","3"
,,"2021","3,001","6"
,,"2022","3,819","7"
,,"2023","4,237","5"
,,"2024","6,694","6"
,"Textile product mills  [314]","2007","63,430","35"
,,"2008","44,210","30"
,,"2009","30,727","40"
,,"2010","23,711","33"
,,"2011","21,457","34"
,,"2012","19,626","25"
,,"2013","8,467","30"
,,"2014","7,711","24"
,,"2015","17,920","27"
,,"2016","22,326","29"
,,"2017","25,500","25"
,,"2018","58,172","23"
,,"2019","37,978","23"
,,"2020","36,634","27"
,,"2021","36,324","26"
,,"2022","36,278","26"
,,"2023","27,827","22"
,,"2024","13,300","20"
,"Apparel manufacturing  [315]","2007","99,515","99"
,,"2008","66,014","88"
,,"2009","41,426","84"
,,"2010","35,401","71"
,,"2011","43,178","75"
,,"2012","45,934","75"
,,"2013","66,795","74"
,,"2014","62,813","72"
,,"2015","55,986","63"
,,"2016","48,584","60"
,,"2017","47,450","59"
,,"2018","47,499","57"
,,"2019","32,867","60"
,,"2020","31,629","56"
,,"2021","26,793","59"
,,"2022","31,765","50"
,,"2023","33,181","43"
,,"2024","17,596","50"
,"Leather and allied product manufacturing  [316]","2007","5,100","15"
,,"2008","1,218","10"
,,"2009","1,253","11"
,,"2010","1,468","9"
,,"2011","2,412","11"
,,"2012","2,536","8"
,,"2013","1,607","9"
,,"2014","1,475","9"
,,"2015","2,883","10"
,,"2016","1,493","5"
,,"2017","1,158","4"
,,"2018","991","4"
,,"2019","1,332","6"
,,"2020","1,301","3"
,,"2021","742","3"
,,"2022","1,207","6"
,,"2023","2,321","5"
,,"2024","3,668","8"
,"Wood product manufacturing  [321]","2007","5,655,636","396"
,,"2008","4,982,344","340"
,,"2009","3,390,026","312"
,,"2010","4,424,396","295"
,,"2011","4,911,156","281"
,,"2012","5,633,258","282"
,,"2013","6,006,796","276"
,,"2014","5,630,669","261"
,,"2015","5,667,935","261"
,,"2016","5,839,625","277"
,,"2017","6,694,572","270"
,,"2018","6,996,970","269"
,,"2019","5,507,757","270"
,,"2020","6,079,359","263"
,,"2021","10,618,546","267"
,,"2022","11,188,959","258"
,,"2023","7,306,692","259"
,,"2024","7,502,790","259"
,"Paper manufacturing  [322]","2007","2,339,409","51"
,,"2008","2,590,236","51"
,,"2009","2,455,824","47"
,,"2010","2,955,431","44"
,,"2011","3,471,308","50"
,,"2012","2,927,065","42"
,,"2013","2,852,808","43"
,,"2014","2,875,987","37"
,,"2015","2,943,264","35"
,,"2016","3,736,310","33"
,,"2017","4,159,663","33"
,,"2018","5,229,556","28"
,,"2019","4,165,396","28"
,,"2020","3,720,023","32"
,,"2021","4,508,046","28"
,,"2022","4,726,281","29"
,,"2023","3,711,581","30"
,,"2024","3,662,882","27"
,"Printing and related support activities  [323]","2007","84,475","97"
,,"2008","67,418","86"
,,"2009","52,156","74"
,,"2010","45,452","73"
,,"2011","48,512","77"
,,"2012","48,466","81"
,,"2013","51,737","73"
,,"2014","46,710","70"
,,"2015","41,367","69"
,,"2016","45,295","66"
,,"2017","43,720","70"
,,"2018","61,493","86"
,,"2019","74,772","78"
,,"2020","63,360","67"
,,"2021","77,257","65"
,,"2022","82,876","67"
,,"2023","74,607","78"
,,"2024","84,398","78"
,"Petroleum and coal product manufacturing  [324]","2007","271,969","10"
,,"2008","284,867","10"
,,"2009","309,724","10"
,,"2010","294,835","8"
,,"2011","429,502","10"
,,"2012","1,337,554","11"
,,"2013","598,563","12"
,,"2014","391,360","11"
,,"2015","140,971","10"
,,"2016","540,619","8"
,,"2017","386,177","7"
,,"2018","152,097","10"
,,"2019","236,486","9"
,,"2020","199,807","9"
,,"2021","368,307","10"
,,"2022","469,196","9"
,,"2023","240,274","10"
,,"2024","159,873","8"
,"Chemical manufacturing  [325]","2007","633,932","121"
,,"2008","642,845","120"
,,"2009","282,144","112"
,,"2010","355,151","98"
,,"2011","406,244","107"
,,"2012","521,540","106"
,,"2013","661,435","107"
,,"2014","724,978","113"
,,"2015","634,588","120"
,,"2016","716,192","130"
,,"2017","590,188","138"
,,"2018","633,363","140"
,,"2019","677,023","144"
,,"2020","573,666","134"
,,"2021","727,364","135"
,,"2022","936,603","141"
,,"2023","1,049,891","133"
,,"2024","1,046,749","134"
,"Plastics and rubber products manufacturing  [326]","2007","288,781","150"
,,"2008","250,987","148"
,,"2009","266,733","141"
,,"2010","221,565","127"
,,"2011","258,278","129"
,,"2012","252,397","128"
,,"2013","243,535","134"
,,"2014","212,105","124"
,,"2015","244,008","124"
,,"2016","268,450","127"
,,"2017","297,153","128"
,,"2018","320,890","125"
,,"2019","349,092","126"
,,"2020","439,694","117"
,,"2021","563,520","121"
,,"2022","667,691","128"
,,"2023","608,787","125"
,,"2024","577,055","122"
